temperature,run_number,tags,summary,latency_ms,timestamp_utc
0.0,1,"[""signal failure"", ""morning commute"", ""blue line""]",Signal failure near Santa Clara station caused major delays and disrupted Blue Line light rail service during the morning commute.,162249,2026-09-04T17:11:05.446925+00:00
0.0,2,"[""blue line"", ""signal failure"", ""vta blue line""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,120767,2026-09-04T17:13:06.231154+00:00
0.0,3,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,81598,2026-09-04T17:14:27.824106+00:00
0.0,4,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,75717,2026-09-04T17:15:43.550478+00:00
0.0,5,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,75190,2026-09-04T17:16:58.746097+00:00
0.0,6,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,75151,2026-09-04T17:18:13.913017+00:00
0.0,7,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,75158,2026-09-04T17:19:29.084262+00:00
0.0,8,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,78268,2026-09-04T17:20:47.369274+00:00
0.0,9,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,74853,2026-09-04T17:22:02.277833+00:00
0.0,10,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,74656,2026-09-04T17:23:16.947589+00:00
0.0,11,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,74430,2026-09-04T17:24:31.552085+00:00
0.0,12,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,75202,2026-09-04T17:25:46.895925+00:00
0.0,13,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,76626,2026-09-04T17:27:03.544752+00:00
0.0,14,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,74907,2026-09-04T17:28:18.656876+00:00
0.0,15,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,84626,2026-09-04T17:29:43.732676+00:00
0.0,16,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,90411,2026-09-04T17:31:14.150264+00:00
0.0,17,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,85091,2026-09-04T17:32:39.245648+00:00
0.0,18,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,77023,2026-09-04T17:33:56.278343+00:00
0.0,19,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,76981,2026-09-04T17:35:13.262489+00:00
0.0,20,"[""blue line"", ""signal failure"", ""vta""]",Signal failure near Santa Clara caused delays and disrupted Blue Line service during morning commute.,79974,2026-09-04T17:36:33.251559+00:00
